史太君;周瑞;31.0
薛宝钗;薛蟠;31.0
紫鹃;袭人;30.0
贾珍;邢夫人;30.0
史湘云;薛姨妈;30.0
史太君;秋纹;30.0
林黛玉;贾琏;29.0
尤氏;贾琏;29.0
史太君;香菱;29.0
史太君;薛蟠;28.0
来旺;王熙凤;28.0
贾宝玉;赵姨娘;28.0
平儿;鸳鸯;28.0
贾政;贾环;28.0
林黛玉;邢岫烟;27.0
平儿;林黛玉;27.0
王夫人;麝月;27.0
王夫人;贾兰;27.0
秋纹;麝月;27.0
李纨;薛宝琴;27.0
平儿;贾巧姐;27.0
王夫人;贾元春;27.0
薛姨妈;鸳鸯;26.0
薛姨妈;邢夫人;26.0
尤氏;薛宝钗;26.0
王熙凤;贾元春;26.0
贾政;鸳鸯;26.0
王夫人;紫鹃;26.0
芳官;袭人;26.0
茗烟;贾宝玉;26.0
晴雯;芳官;26.0
晴雯;王夫人;26.0
王熙凤;贾环;26.0
贾兰;贾政;26.0
王夫人;贾巧姐;25.0
史湘云;贾惜春;25.0
薛宝钗;麝月;25.0
王熙凤;薛宝琴;25.0
李纨;贾兰;25.0
李纨;鸳鸯;25.0
丰儿;王熙凤;25.0
晴雯;薛宝钗;24.0
薛宝琴;贾探春;24.0
王熙凤;赵姨娘;24.0
秦可卿;贾宝玉;24.0
尤氏;贾赦;24.0
贾蓉;邢夫人;24.0
史太君;雪雁;24.0
王熙凤;秦可卿;24.0
林黛玉;麝月;24.0
林黛玉;邢夫人;24.0
王夫人;赵姨娘;24.0
贾政;贾蓉;23.0
尤氏;贾惜春;23.0
薛蟠;香菱;23.0
史太君;贾芸;23.0
贾环;邢夫人;23.0
袭人;贾琏;23.0
李纨;贾环;23.0
史太君;周瑞家的;23.0
莺儿;袭人;23.0
尤二姐;王熙凤;23.0
史太君;林之孝;23.0
周瑞;平儿;23.0
王熙凤;贾芸;23.0
周瑞;王夫人;23.0
贾迎春;邢夫人;22.0
王熙凤;琥珀;22.0
林之孝;林之孝家的;22.0
薛姨妈;贾琏;22.0
琥珀;贾宝玉;22.0
王熙凤;紫鹃;22.0
尤氏;林黛玉;22.0
林之孝;王熙凤;22.0
贾宝玉;邢岫烟;22.0
贾琏;贾芸;22.0
小红;王熙凤;22.0
王夫人;薛蟠;22.0
琥珀;鸳鸯;22.0
贾琏;赖大;22.0
尤氏;贾政;22.0
薛宝钗;贾环;22.0
王夫人;琥珀;21.0
尤二姐;贾琏;21.0
薛宝钗;贾珍;21.0
柳五儿;贾宝玉;21.0
周瑞家的;王夫人;21.0
贾惜春;贾政;21.0
王熙凤;贾巧姐;21.0
刘姥姥;王夫人;21.0
薛姨妈;贾政;21.0
史太君;邢岫烟;21.0
贾探春;贾政;21.0
周瑞家的;平儿;21.0
晴雯;王熙凤;21.0
薛姨妈;贾迎春;21.0
刘姥姥;平儿;21.0
薛宝钗;贾兰;21.0
贾赦;鸳鸯;21.0
彩云;王夫人;21.0
妙玉;贾宝玉;21.0
李纨;邢岫烟;20.0
薛姨妈;贾探春;20.0
李纨;贾琏;20.0
林黛玉;莺儿;20.0
王熙凤;邢岫烟;20.0
尤氏;平儿;20.0
史太君;莺儿;20.0
刘姥姥;贾宝玉;20.0
甄士隐;贾雨村;20.0
贾探春;赵姨娘;20.0
史湘云;贾迎春;20.0
林黛玉;贾兰;20.0
周瑞;贾琏;20.0
薛姨妈;薛宝琴;20.0
袭人;贾环;20.0
李贵;贾宝玉;20.0
贾元春;贾琏;20.0
史湘云;鸳鸯;20.0
李纨;贾珍;20.0
贾宝玉;贾巧姐;19.0
薛姨妈;贾珍;19.0
贾巧姐;邢夫人;19.0
史太君;尤二姐;19.0
薛宝钗;邢岫烟;19.0
尤氏;贾探春;19.0
刘姥姥;周瑞;19.0
刘姥姥;板儿;19.0
薛宝琴;邢岫烟;19.0
林黛玉;秋纹;19.0
丰儿;平儿;19.0
彩云;贾宝玉;19.0
平儿;贾赦;18.0
薛姨妈;薛蝌;18.0
贾惜春;邢夫人;18.0
史湘云;邢岫烟;18.0
贾探春;贾环;18.0
李纨;贾政;18.0
史湘云;香菱;18.0
林黛玉;贾珍;18.0
刘姥姥;周瑞家的;17.0
袭人;贾惜春;17.0
紫鹃;贾探春;17.0
尤氏;鸳鸯;17.0
王夫人;金钏;17.0
李纨;香菱;17.0
贾宝玉;金钏;17.0
贾兰;贾赦;17.0
贾探春;香菱;17.0
柳五儿;袭人;17.0
贾政;赖大;17.0
李纨;紫鹃;17.0
史太君;赵姨娘;17.0
贾宝玉;赖大;17.0
王夫人;薛宝琴;17.0
水溶;贾宝玉;17.0
薛宝钗;贾赦;17.0
贾惜春;鸳鸯;17.0
王熙凤;贾兰;16.0
贾巧姐;贾琏;16.0
平儿;赵姨娘;16.0
薛姨妈;贾惜春;16.0
史湘云;平儿;16.0
李纨;赵姨娘;16.0
小红;贾宝玉;16.0
晴雯;秋纹;16.0
贾探春;邢夫人;16.0
贾探春;鸳鸯;16.0
史太君;彩云;16.0
王夫人;莺儿;16.0
贾政;贾迎春;16.0
林之孝;贾宝玉;16.0
史太君;赖大;16.0
尤氏;薛姨妈;16.0
贾环;贾琏;16.0
贾元春;贾赦;16.0
王夫人;王子腾;15.0
贾兰;邢夫人;15.0
袭人;邢夫人;15.0
刘姥姥;薛姨妈;15.0
尤氏;薛宝琴;15.0
周瑞;贾宝玉;15.0
平儿;贾惜春;15.0
平儿;贾环;15.0
妙玉;贾惜春;15.0
李纨;贾赦;15.0
李纨;林之孝;15.0
四儿;贾宝玉;15.0
史湘云;紫鹃;15.0
妙玉;林黛玉;15.0
平儿;晴雯;15.0
王夫人;赖大;15.0
袭人;赵姨娘;15.0
芳官;麝月;15.0
王夫人;秋纹;15.0
史太君;贾巧姐;15.0
王熙凤;麝月;15.0
贾政;贾雨村;15.0
来旺;贾琏;15.0
史湘云;邢夫人;15.0
秦可卿;贾蓉;15.0
玉钏;贾宝玉;15.0
蒋玉菡;贾宝玉;15.0
王夫人;香菱;15.0
袭人;贾兰;15.0
林黛玉;贾环;15.0
袭人;香菱;14.0
李嬷嬷;贾宝玉;14.0
林黛玉;薛蟠;14.0
林之孝;贾琏;14.0
丰儿;史太君;14.0
薛蝌;薛蟠;14.0
薛蟠;贾政;14.0
莺儿;薛姨妈;14.0
王熙凤;香菱;14.0
贾兰;贾惜春;14.0
宝蟾;香菱;14.0
林黛玉;贾赦;14.0
薛蟠;贾珍;14.0
玻璃;贾宝玉;14.0
水溶;贾政;14.0
史太君;王子腾;14.0
王子腾;王熙凤;14.0
尤氏;袭人;14.0
史太君;秦钟;14.0
薛宝琴;贾惜春;14.0
王熙凤;赖大;14.0
薛宝钗;薛蝌;14.0
柳五儿;芳官;14.0
史太君;小红;14.0
李纨;贾蓉;13.0
贾环;贾赦;13.0
史太君;秦可卿;13.0
周瑞家的;贾琏;13.0
贾巧姐;贾环;13.0
小红;林黛玉;13.0
王熙凤;雪雁;13.0
薛蟠;袭人;13.0
贾芸;邢夫人;13.0
秋纹;薛宝钗;13.0
贾迎春;鸳鸯;13.0
王熙凤;秦钟;13.0
彩云;薛宝钗;13.0
王夫人;贾芸;13.0
贾惜春;贾珍;13.0
平儿;贾政;13.0
薛姨妈;贾赦;13.0
史湘云;尤氏;13.0
薛宝琴;香菱;13.0
四儿;袭人;13.0
彩云;王熙凤;13.0
平儿;来旺;13.0
板儿;王熙凤;13.0
贾惜春;贾琏;13.0
贾宝玉;贾雨村;13.0
春燕;贾宝玉;13.0
薛宝钗;贾元春;13.0
林黛玉;贾元春;13.0
小红;平儿;12.0
林黛玉;芳官;12.0
薛宝钗;贾巧姐;12.0
平儿;秋桐;12.0
周瑞;薛姨妈;12.0
李纨;林之孝家的;12.0
司棋;贾迎春;12.0
袭人;贾赦;12.0
薛宝琴;邢夫人;12.0
贾惜春;贾环;12.0
贾元春;邢夫人;12.0
贾探春;邢岫烟;12.0
王熙凤;贾瑞;12.0
贾琏;贾芹;12.0
薛蟠;贾琏;12.0
薛宝琴;贾迎春;12.0
史太君;妙玉;12.0
林黛玉;琥珀;12.0
王夫人;薛蝌;12.0
琥珀;贾琏;12.0
彩云;鸳鸯;12.0
小红;贾芸;12.0
周瑞家的;薛宝钗;12.0
林黛玉;贾蓉;12.0
王子腾;贾宝玉;12.0
林之孝家的;王熙凤;12.0
周瑞;薛宝钗;12.0
平儿;薛姨妈;12.0
尤氏;秦可卿;12.0
尤二姐;尤氏;12.0
史太君;珍珠;12.0
贾元春;贾珍;12.0
贾蓉;贾蓉之妻;12.0
贾兰;贾探春;11.0
王熙凤;莺儿;11.0
史太君;芳官;11.0
王熙凤;秋桐;11.0
尤氏;贾兰;11.0
晴雯;李纨;11.0
王熙凤;薛蟠;11.0
史太君;水溶;11.0
刘姥姥;林黛玉;11.0
彩云;贾环;11.0
史湘云;贾环;11.0
晴雯;贾迎春;11.0
史太君;来旺;11.0
紫鹃;鸳鸯;11.0
玉钏;王夫人;11.0
贾宝玉;贾蔷;11.0
李纨;琥珀;11.0
周瑞;李纨;11.0
李绮;贾宝玉;11.0
彩屏;贾惜春;11.0
柳五儿;麝月;11.0
史湘云;琥珀;11.0
芳官;薛宝钗;11.0
尤氏;贾迎春;11.0
待书;贾探春;11.0
贾巧姐;贾芸;11.0
贾兰;贾琏;11.0
邢夫人;邢岫烟;11.0
尤二姐;平儿;11.0
水溶;贾赦;11.0
周瑞家的;贾宝玉;11.0
妙玉;薛宝钗;11.0
待书;薛宝钗;11.0
芳官;贾探春;11.0
史太君;林之孝家的;11.0
贾兰;贾蓉;11.0
春燕;晴雯;11.0
薛宝钗;雪雁;11.0
李纨;李绮;11.0
史太君;贾雨村;11.0
周瑞;林黛玉;11.0
平儿;林之孝;11.0
坠儿;贾宝玉;11.0
周瑞家的;薛姨妈;11.0
李纹;李绮;11.0
贾迎春;邢岫烟;11.0
周瑞;贾惜春;10.0
贾惜春;香菱;10.0
秦可卿;贾珍;10.0
贾探春;贾赦;10.0
贾迎春;香菱;10.0
平儿;贾迎春;10.0
王熙凤;秋纹;10.0
琥珀;薛宝钗;10.0
柳家的;贾宝玉;10.0
袭人;贾芸;10.0
史太君;金钏;10.0
平儿;贾珍;10.0
王熙凤;金钏;10.0
王夫人;贾蔷;10.0
李纨;李纹;10.0
周瑞;板儿;10.0
甄宝玉;贾宝玉;10.0
周瑞家的;林黛玉;10.0
贾探春;贾琏;10.0
秋纹;紫鹃;10.0
李纹;林黛玉;10.0
李嬷嬷;袭人;10.0
贾元春;贾探春;10.0
李绮;薛宝钗;10.0
贾惜春;邢岫烟;10.0
宝蟾;薛宝钗;10.0
晴雯;贾探春;10.0
琥珀;薛姨妈;10.0
林之孝;贾探春;10.0
秋桐;贾琏;10.0
刘姥姥;贾巧姐;10.0
尤二姐;贾珍;10.0
贾惜春;贾芸;10.0
蕊官;藕官;10.0
司棋;王熙凤;10.0
林之孝家的;贾探春;10.0
史太君;薛蝌;10.0
翠墨;贾宝玉;10.0
琥珀;邢夫人;10.0
李纨;麝月;10.0
史湘云;贾琏;10.0
宝蟾;薛蟠;10.0
薛宝钗;赵姨娘;10.0
袭人;贾迎春;10.0
周瑞家的;李纨;10.0
平儿;贾蓉;10.0
史湘云;贾兰;10.0
史太君;玉钏;10.0
薛宝钗;金钏;10.0
芳官;藕官;10.0
薛宝琴;袭人;10.0
林黛玉;翠缕;10.0
平儿;莺儿;10.0
贾珍;鸳鸯;10.0
李纹;邢岫烟;10.0
四儿;晴雯;10.0
薛姨妈;贾环;10.0
李纹;薛宝钗;10.0
秦钟;贾珍;10.0
史太君;李绮;10.0
贾惜春;贾赦;10.0
薛姨妈;邢岫烟;10.0
李纨;贾元春;10.0
史太君;玻璃;10.0
玉钏;王熙凤;10.0
紫鹃;薛姨妈;10.0
史太君;贾蓉之妻;10.0
薛蝌;贾政;9.0
司棋;贾宝玉;9.0
刘姥姥;鸳鸯;9.0
蒋玉菡;薛蟠;9.0
王夫人;雪雁;9.0
李纹;贾宝玉;9.0
王仁;贾琏;9.0
林黛玉;贾雨村;9.0
尤氏;贾环;9.0
王仁;王熙凤;9.0
小红;薛宝钗;9.0
李纹;王熙凤;9.0
贾政;麝月;9.0
薛姨妈;贾元春;9.0
袭人;贾珍;9.0
琥珀;贾惜春;9.0
翠缕;贾宝玉;9.0
史太君;李纹;9.0
林黛玉;王子腾;9.0
司棋;贾探春;9.0
彩霞;王熙凤;9.0
彩霞;王夫人;9.0
贾环;贾珍;9.0
珍珠;贾宝玉;9.0
平儿;芳官;9.0
贾政;赵姨娘;9.0
柳家的;芳官;9.0
宝蟾;薛姨妈;9.0
平儿;香菱;9.0
林之孝;贾政;9.0
李绮;林黛玉;9.0
丰儿;贾琏;9.0
史湘云;李纹;9.0
周瑞;袭人;9.0
贾珍;贾迎春;9.0
贾政;贾芸;9.0
周瑞;贾珍;9.0
王子腾;贾政;9.0
薛宝琴;薛蝌;9.0
刘姥姥;李纨;9.0
柳五儿;王熙凤;9.0
贾环;鸳鸯;9.0
林之孝家的;贾宝玉;9.0
春燕;袭人;9.0
晴雯;柳五儿;9.0
春燕;芳官;9.0
贾蓉;鸳鸯;9.0
林黛玉;赵姨娘;9.0
贾珍;贾蓉之妻;9.0
刘姥姥;薛宝钗;9.0
平儿;贾芸;9.0
史湘云;翠缕;9.0
平儿;麝月;9.0
林黛玉;金钏;9.0
袭人;金钏;9.0
贾元春;贾环;9.0
贾敬;贾珍;9.0
王熙凤;芳官;9.0
赖大;邢夫人;9.0
紫鹃;翠缕;9.0
四儿;芳官;9.0
贾兰;鸳鸯;9.0
史太君;李贵;9.0
来旺;王夫人;9.0
贾政;贾芹;9.0
芳官;蕊官;9.0
平儿;彩云;9.0
彩云;李纨;9.0
林之孝;王夫人;9.0
王子腾;薛宝钗;9.0
丰儿;王夫人;9.0
贾巧姐;贾赦;9.0
贾赦;赖大;9.0
薛宝钗;贾蓉;9.0
王夫人;邢岫烟;9.0
王子腾;贾琏;9.0
贾琏;贾蔷;9.0
云儿;贾宝玉;9.0
尤氏;贾蓉之妻;9.0
水溶;贾珍;8.0
李纨;薛蟠;8.0
周姨娘;赵姨娘;8.0
倪二;贾芸;8.0
贾探春;贾珍;8.0
贾宝玉;贾瑞;8.0
贾环;贾迎春;8.0
王夫人;芳官;8.0
